Age,a2024
0,5160
1,5950
2,5960
3,6310
4,6630
5,6370
6,6050
7,5750
8,5640
9,5490
10,5180
11,5210
12,4950
13,4400
14,4680
15,5310
16,5190
17,6600
18,24160
19,22710
20,17120
21,19800
22,30000
23,33850
24,32060
25,31860
26,30720
27,28010
28,25460
29,22900
30,19920
31,17540
32,15190
33,14060
34,13350
35,11990
36,11170
37,10260
38,9520
39,8780
40,8040
41,7240
42,6510
43,5720
44,5170
45,4510
46,3930
47,3630
48,3250
49,3060
50,2940
51,2890
52,2720
53,2700
54,2480
55,2590
56,2270
57,2280
58,2270
59,2390
60,2700
61,2390
62,2230
63,2100
64,1930
65,2020
66,2360
67,2060
68,1980
69,1810
70,1600
71,1350
72,1200
73,1110
74,1040
75,930
76,740
77,630
78,540
79,510
80,420
81,350
82,310
83,250
84,230
85,170
86,160
87,100
88,110
89,90
90,50
91,40
92,30
93,20
94,20
95,10
96,10
