Country,no_2024,no_2025
New Zealand,33590,35050
New Caledonia,220,320
Papua New Guinea,2410,2130
Solomon Islands,1380,940
Vanuatu,1240,1700
Guam,10,10
Kiribati,700,370
Marshall Islands,10,10
Federated States of Micronesia,0,0
Nauru,120,110
Palau,0,0
Cook Islands,360,370
Fiji,7150,4430
French Polynesia,40,50
Niue,50,40
Samoa,2600,2810
American Samoa,50,50
Tokelau,40,30
Tonga,1640,1530
Tuvalu,180,150
United Kingdom,37540,40180
Republic of Ireland,12560,8890
Austria,250,290
Belgium,730,700
France,7920,8670
Germany,3830,3990
Liechtenstein,0,0
Luxembourg,30,30
Monaco,20,20
Netherlands,1420,1370
Switzerland,520,580
Denmark,420,420
Faroe Islands,0,10
Finland,300,300
Greenland,0,0
Iceland,10,20
Norway,390,320
Sweden,730,750
�land,0,0
Andorra,0,10
Gibraltar,10,10
Vatican City,0,0
Italy,4270,4780
Malta,120,90
Portugal,500,410
San Marino,0,0
Spain,2520,2280
Albania,180,130
Bosnia and Herzegovina,220,180
Bulgaria,120,110
Croatia,200,190
Cyprus,120,110
North Macedonia,370,320
Greece,510,440
Moldova,70,70
Romania,360,330
Slovenia,70,70
Montenegro,10,20
Serbia,240,190
Kosovo,20,10
Belarus,80,80
Czech Republic,300,340
Estonia,630,590
Hungary,330,300
Latvia,90,90
Lithuania,240,180
Poland,870,770
Russia,1500,1040
Slovakia,190,160
Ukraine,730,600
Algeria,110,110
Egypt,1720,1480
Libya,70,80
Morocco,250,220
Sudan,470,580
Tunisia,70,70
South Sudan,110,200
Bahrain,190,200
Palestinian Authority,10,10
Iran,6870,5130
Iraq,3780,3230
Israel,1050,910
Jordan,590,580
Kuwait,840,1080
Lebanon,2820,2590
Oman,370,310
Qatar,510,430
Saudi Arabia,3030,2430
Syria,2370,2460
Turkey,2980,1920
Unit Arab Emir,2110,2200
Yemen,220,130
Myanmar,2430,2000
Cambodia,2300,2160
Laos,600,360
Thailand,7820,5870
Vietnam,23840,13950
Brunei,220,260
Indonesia,14510,13340
Malaysia,7630,6490
Philippines,36120,25560
Singapore,4090,3780
Timor-Leste,1550,1450
China,74400,69860
Hong Kong,6850,5390
Macau,220,220
Mongolia,3550,1040
Taiwan,8800,7870
Japan,8590,7350
North Korea,50,50
South Korea,9180,8450
Bangladesh,10660,12330
Bhutan,9890,4100
India,85920,74540
Maldives,120,90
Nepal,20070,18480
Pakistan,16060,11440
Sri Lanka,16580,14710
Afghanistan,10670,8920
Armenia,50,50
Azerbaijan,50,40
Georgia,90,80
Kazakhstan,240,230
Kyrgyzstan,70,50
Tajikistan,20,20
Turkmenistan,20,30
Uzbekistan,240,310
Bermuda,30,20
Canada,3730,3460
Saint Pierre and Miquelon,0,0
United States,7800,7580
Argentina,4720,3680
Bolivia,100,50
Brazil,9230,5240
Chile,3510,2780
Colombia,10360,2250
Ecuador,1510,590
Falkland Islands,0,0
French Guiana,10,10
Guyana,10,10
Paraguay,90,70
Peru,1800,1210
Suriname,10,0
Uruguay,360,310
Venezuela,610,330
"S America, nec",0,0
Belize,0,10
Costa Rica,50,30
El Salvador,100,60
Guatemala,90,50
Honduras,40,20
Mexico,1260,930
Nicaragua,30,10
Panama,30,20
Anguilla,0,0
Antigua and Barbuda,0,0
Aruba,0,0
The Bahamas,10,10
Barbados,20,10
Cayman Islands,10,10
Cuba,60,40
Dominica,0,0
Dominican Republic,40,30
Grenada,10,0
Guadeloupe,10,10
Haiti,20,10
Jamaica,30,50
Martinique,10,10
Montserrat,0,0
Puerto Rico,20,10
Saint Kitts and Nevis,0,0
Saint Lucia,0,0
Saint Vincent and the Grenadines,10,0
Trinidad and Tobago,60,70
Turks and Caicos Islands,0,0
"Virgin, Utah",0,0
"Virgin, Utah",0,0
Saint Barth�lemy,0,0
Bonaire,0,0
Cura�ao,10,0
Benin,0,10
Burkina Faso,0,10
Cameroon,100,60
Cape Verde,10,0
Central African Republic,100,20
Chad,30,10
Republic of the Congo,80,40
Democratic Republic of the Congo,1370,740
Ivory Coast,30,30
Gabon,10,10
The Gambia,10,10
Ghana,1080,840
Guinea,30,40
Guinea-Bissau,0,0
Liberia,80,80
Mali,0,10
Mauritania,0,0
Niger,0,10
Nigeria,2480,1690
S�o Tom� and Pr�ncipe,0,0
Senegal,20,30
Sierra Leone,90,70
Togo,10,10
Angola,20,10
Botswana,180,150
Burundi,280,240
Comoros,0,0
Djibouti,10,0
Eritrea,280,420
Ethiopia,1190,1050
Kenya,5260,2590
Lesotho,20,10
Madagascar,50,40
Malawi,250,150
Mauritius,970,700
Mayotte,0,0
Mozambique,60,50
Namibia,120,80
R�union,20,30
Rwanda,240,160
Saint Helena,0,0
Seychelles,40,20
Somalia,470,440
South Africa,11860,8620
Eswatini,20,10
Tanzania,190,130
Uganda,440,300
Zambia,650,510
Zimbabwe,3340,3030
