"degree","visa","value"
"Postgraduate degree","Skilled",370677
"Postgraduate degree","Family",101890
"Postgraduate degree","Humanitarian",7055
"Postgraduate degree","Other permanent",76
"Graduate diploma and graduate certificate","Skilled",44998
"Graduate diploma and graduate certificate","Family",17736
"Graduate diploma and graduate certificate","Humanitarian",2236
"Graduate diploma and graduate certificate","Other permanent",34
"Bachelor degree","Skilled",541869
"Bachelor degree","Family",242785
"Bachelor degree","Humanitarian",25862
"Bachelor degree","Other permanent",226
"Advanced diploma and diploma","Skilled",164482
"Advanced diploma and diploma","Family",110699
"Advanced diploma and diploma","Humanitarian",21678
"Advanced diploma and diploma","Other permanent",148
"Certificate III & IV","Skilled",124069
"Certificate III & IV","Family",87320
"Certificate III & IV","Humanitarian",29882
"Certificate III & IV","Other permanent",217
"Secondary education - years 10 and above","Skilled",235891
"Secondary education - years 10 and above","Family",235654
"Secondary education - years 10 and above","Humanitarian",79646
"Secondary education - years 10 and above","Other permanent",435
"Certificate I & II","Skilled",175
"Certificate I & II","Family",798
"Certificate I & II","Humanitarian",1400
"Certificate I & II","Other permanent",0
"Secondary education - years 9 and below","Skilled",26127
"Secondary education - years 9 and below","Family",49703
"Secondary education - years 9 and below","Humanitarian",36719
"Secondary education - years 9 and below","Other permanent",46
"Level of education inadequately described","Skilled",30476
"Level of education inadequately described","Family",27100
"Level of education inadequately described","Humanitarian",5874
"Level of education inadequately described","Other permanent",31
"No educational attainment","Skilled",2138
"No educational attainment","Family",18028
"No educational attainment","Humanitarian",32374
"No educational attainment","Other permanent",13
